"rhoI","rI","hospital","community","cases.averted","baseline.cases","intervention.cases","prop.cases.averted","mult1.noint.cases","mult1.int.cases","treatment","rel.value"
1.21052631578947,1.52631578947368,0.0280486741057553,0.0135153245382491,132.510777257556,8223.19285789957,8090.68208064201,0.0161142733178463,8223.9132140646,7626.19013466195,"transmission reduction",5.65668291991913
1.21052631578947,1.63157894736842,0.0294943236876936,0.0139187382502275,97.2752523290201,8223.10352990662,8125.8282775776,0.0118295059736558,8223.9132140646,7626.19013466195,"transmission reduction",6.08515965433819
1.21052631578947,1.73684210526316,0.0307774017944659,0.0142539496433319,67.6039629634843,8223.02036907324,8155.41640610975,0.00822130554579953,8223.9132140646,7626.19013466195,"transmission reduction",6.44597969712382
1.21052631578947,1.84210526315789,0.0319232092855775,0.0145350414402052,42.4132219614266,8222.95563934409,8180.54241738267,0.00515790475124219,8223.9132140646,7626.19013466195,"transmission reduction",6.75231977657954
1.21052631578947,1.94736842105263,0.0329520649587623,0.0147726208934799,20.8697613157765,8222.89584685801,8202.02608554224,0.00253800628202665,8223.9132140646,7626.19013466195,"transmission reduction",7.0143096235011
1.21052631578947,2.05263157894737,0.0338805405127876,0.0149748477593254,2.32382420937392,8222.84525425989,8220.52143005052,0.000282605854484499,8223.9132140646,7626.19013466195,"transmission reduction",7.23984966625532
1.21052631578947,2.15789473684211,0.0342120140339186,0.0145117471703143,6.35640481050359e-06,7961.39273425108,7961.39272789467,7.98403623923413e-10,8223.9132140646,7626.19013466195,"transmission reduction",7.2681101718634
1.31578947368421,1,0.0188073635300999,0.0101986126747131,406.107453351893,8223.70595197989,7817.598498628,0.0493825357719801,8223.9132140646,7626.19013466195,"transmission reduction",2.32985667450575
1.31578947368421,1.10526315789474,0.0217520872780944,0.0113585116997956,312.789982013786,8223.54885241313,7910.75887039935,0.0380358878663438,8223.9132140646,7626.19013466195,"transmission reduction",3.46452146506938
1.31578947368421,1.21052631578947,0.024236338190613,0.0122510315636015,239.169651742826,8223.41678642774,7984.24713468491,0.0290839754270465,8223.9132140646,7626.19013466195,"transmission reduction",4.35971270899911
1.31578947368421,1.31578947368421,0.0263583635406056,0.0129516072823048,180.168855702541,8223.30192010773,8043.13306440519,0.0219095513521144,8223.9132140646,7626.19013466195,"transmission reduction",5.07715511649233
1.31578947368421,1.42105263157895,0.0281903654258899,0.0135107210014731,132.236554247726,8223.20246680546,8090.96591255774,0.0160809070166427,8223.9132140646,7626.19013466195,"transmission reduction",5.6600195500395
1.31578947368421,1.52631578947368,0.0297865535979545,0.0139631828806682,92.8330987529962,8223.10444118856,8130.27134243556,0.0112893007035161,8223.9132140646,7626.19013466195,"transmission reduction",6.13918018135216
1.31578947368421,1.63157894736842,0.0311885600969604,0.014333793091998,60.0994019966965,8223.02668354934,8162.92728155265,0.0073086716496894,8223.9132140646,7626.19013466195,"transmission reduction",6.53724308673482
1.31578947368421,1.73684210526316,0.032428748795136,0.0146404496566809,32.6563001306085,8222.94401084002,8190.28771070942,0.00397136355149188,8223.9132140646,7626.19013466195,"transmission reduction",6.87097389655458
1.31578947368421,1.84210526315789,0.0335328215049228,0.0148965159245792,9.45795482132962,8222.87303714171,8213.41508232038,0.00115020076056254,8223.9132140646,7626.19013466195,"transmission reduction",7.15309017564751
1.31578947368421,1.94736842105263,0.0341488640813426,0.0146610957343274,2.00311660591979e-07,8041.38570633563,8041.38570613531,2.49100923531323e-11,8223.9132140646,7626.19013466195,"transmission reduction",7.26811024921276
1.42105263157895,1,0.0206425709931816,0.0108566838303437,352.48686607671,8223.63816573728,7871.15129966057,0.0428626429048521,8223.9132140646,7626.19013466195,"transmission reduction",2.98184596121855
1.42105263157895,1.10526315789474,0.0235477355245137,0.0119448570005268,263.7370986346,8223.47675325372,7959.73965461912,0.0320712402488703,8223.9132140646,7626.19013466195,"transmission reduction",4.06098622681673
1.42105263157895,1.21052631578947,0.0259874458920764,0.0127788949600261,194.072840686534,8223.34691912584,8029.2740784393,0.0236002253820959,8223.9132140646,7626.19013466195,"transmission reduction",4.90808771349417
1.42105263157895,1.31578947368421,0.0280627129492575,0.0134309612415145,138.511703645098,8223.22401848368,8084.71231483858,0.0168439657406584,8223.9132140646,7626.19013466195,"transmission reduction",5.58371367763792
1.42105263157895,1.42105263157895,0.0298474986781891,0.0139492938686709,93.5843224029632,8223.12496016021,8129.54063775725,0.0113806275420068,8223.9132140646,7626.19013466195,"transmission reduction",6.13004749750308
1.42105263157895,1.52631578947368,0.0313970317134346,0.0143670677064605,56.8182248179728,8223.02603664329,8166.20781182531,0.00690964914433939,8223.9132140646,7626.19013466195,"transmission reduction",6.57714533726983
1.42105263157895,1.63157894736842,0.0327535801845889,0.0147078445295448,26.4127884672143,8222.94491980935,8196.53213134213,0.0032120838367268,8223.9132140646,7626.19013466195,"transmission reduction",6.94690186803109
1.42105263157895,1.73684210526316,0.0339498691158655,0.0149886415688342,1.03352221245586,8222.86274651224,8221.82922429978,0.000125688856097499,8223.9132140646,7626.19013466195,"transmission reduction",7.25554136609401
1.52631578947368,1,0.022385221853248,0.0114569308249854,302.982276426183,8223.56474211568,7920.5824656895,0.0368431800475173,8223.9132140646,7626.19013466195,"transmission reduction",3.58379224695203
1.52631578947368,1.10526315789474,0.0252427118982792,0.0124788201868433,218.595333118929,8223.39881448895,8004.80348137002,0.0265821150171852,8223.9132140646,7626.19013466195,"transmission reduction",4.60989874998525
1.52631578947368,1.21052631578947,0.0276322252882022,0.0132590140199367,152.683283925063,8223.26881678441,8070.58553285934,0.0185672251907201,8223.9132140646,7626.19013466195,"transmission reduction",5.41138773263174
1.52631578947368,1.31578947368421,0.0296569283808027,0.0138665865246895,100.365917594119,8223.15277447802,8122.7868568839,0.0122052843169377,8223.9132140646,7626.19013466195,"transmission reduction",6.04758182001
1.52631578947368,1.42105263157895,0.0313919692686464,0.0143475917133689,58.2583429087945,8223.04999621393,8164.79165330513,0.00708476087773003,8223.9132140646,7626.19013466195,"transmission reduction",6.55963416393076
1.52631578947368,1.52631578947368,0.0328933242071899,0.0147336867645341,23.9570616190704,8222.95065922878,8198.99359760971,0.00291343857112688,8223.9132140646,7626.19013466195,"transmission reduction",6.97676639459107
1.52631578947368,1.63157894736842,0.0340549590527747,0.0148769199369457,1.88112062460277e-06,8156.98127147323,8156.98126959211,2.30614802461478e-10,8223.9132140646,7626.19013466195,"transmission reduction",7.26811022864229
1.63157894736842,1,0.0240397561452216,0.0120069168652665,257.126401849428,8223.48222741048,7966.35582556105,0.0312673384265822,8223.9132140646,7626.19013466195,"transmission reduction",4.14137640904554
1.63157894736842,1.10526315789474,0.0268437734824201,0.0129675616808252,176.898389628399,8223.34083103175,8046.44244140335,0.0215117424004672,8223.9132140646,7626.19013466195,"transmission reduction",5.11693601165705
1.63157894736842,1.21052631578947,0.0291791023237386,0.0136980341516631,114.544954089674,8223.20202466552,8108.65707057585,0.0139294831558432,8223.9132140646,7626.19013466195,"transmission reduction",5.87516193611944
1.63157894736842,1.31578947368421,0.0311507003223679,0.0142646344760553,65.2870215253024,8223.07927701101,8157.79225548571,0.00793948584538436,8223.9132140646,7626.19013466195,"transmission reduction",6.47416166716532
1.63157894736842,1.42105263157895,0.0328345797745133,0.0147113726169699,25.82707920955,8222.97087561914,8197.14379640959,0.0031408452735892,8223.9132140646,7626.19013466195,"transmission reduction",6.95402572434485
1.63157894736842,1.52631578947368,0.0340749995919138,0.014831695595224,4.74325770483119e-06,8132.78314495753,8132.78314021427,5.83226875755577e-10,8223.9132140646,7626.19013466195,"transmission reduction",7.26811019338107
1.73684210526316,1,0.0256111837020793,0.0125130740640662,214.518458508141,8223.42273692238,8008.90427841424,0.0260862739726335,8223.9132140646,7626.19013466195,"transmission reduction",4.65948285444041
1.73684210526316,1.10526315789474,0.0283572723226387,0.0134168147824248,138.25703358128,8223.26752760653,8085.01049402525,0.0168129071706756,8223.9132140646,7626.19013466195,"transmission reduction",5.5868195346362
1.73684210526316,1.21052631578947,0.0306358484272261,0.0141013537628962,79.2750526606942,8223.12690930048,8143.85185663978,0.00964049971927746,8223.9132140646,7626.19013466195,"transmission reduction",6.30406027977601
1.73684210526316,1.31578947368421,0.0325529369303167,0.014630186010259,32.9027365254142,8223.00303891517,8190.10030238976,0.00400130419138881,8223.9132140646,7626.19013466195,"transmission reduction",6.86797983256489
1.73684210526316,1.42105263157895,0.0340470037093908,0.0148949670144653,1.3542949091061e-06,8166.67471699542,8166.67471564113,1.65831866216946e-10,8223.9132140646,7626.19013466195,"transmission reduction",7.26811023512057
1.84210526315789,1,0.0271043121516797,0.0129806285584823,174.817984851484,8223.35471165386,8048.53672680237,0.0212587187323609,8223.9132140646,7626.19013466195,"transmission reduction",5.14223837846768
1.84210526315789,1.10526315789474,0.0297895530727444,0.0138315444398602,102.334603184087,8223.19458449136,8120.85998130728,0.0124446286820314,8223.9132140646,7626.19013466195,"transmission reduction",6.02364738350062
1.84210526315789,1.21052631578947,0.0320097942232915,0.0144735522678725,46.5470997476777,8223.05649565694,8176.50939590926,0.00566055940054187,8223.9132140646,7626.19013466195,"transmission reduction",6.70205431164957
1.84210526315789,1.31578947368421,0.0338717272729187,0.0149675017142041,2.89643039501061,8222.93104527306,8220.03461487805,0.00035223819573139,8223.9132140646,7626.19013466195,"transmission reduction",7.23288643213063
1.94736842105263,1,0.0285240507642041,0.0134141092051178,137.728462343594,8223.28529790835,8085.55683556475,0.0167485934579731,8223.9132140646,7626.19013466195,"transmission reduction",5.59325090590646
1.94736842105263,1.10526315789474,0.0311465469787798,0.0142159118433748,68.8420428779373,8223.12486652864,8154.2828236507,0.00837176182963627,8223.9132140646,7626.19013466195,"transmission reduction",6.43093406874014
1.94736842105263,1.21052631578947,0.0333076359228206,0.0148184614735679,16.0817890241797,8222.98617315491,8206.90438413073,0.00195571154876569,8223.9132140646,7626.19013466195,"transmission reduction",7.07253909682719
2.05263157894737,1,0.0298751877906538,0.0138174276580503,102.990040536267,8223.22717385977,8120.23713332351,0.0125242849745967,8223.9132140646,7626.19013466195,"transmission reduction",6.0156817542441
2.05263157894737,1.10526315789474,0.0324337850773587,0.0145734530446623,37.5293391251962,8223.05607454995,8185.52673542476,0.00456391623563751,8223.9132140646,7626.19013466195,"transmission reduction",6.81171862814001
2.05263157894737,1.21052631578947,0.0341239474133324,0.0147194578133801,7.83669420343358e-05,8072.74389166396,8072.74381329702,9.70759670887846e-09,8223.9132140646,7626.19013466195,"transmission reduction",7.26810928094409
2.15789473684211,1,0.0311621161821554,0.0141938155074485,70.379779075527,8223.15356212955,8152.77378305402,0.00855873340364822,8223.9132140646,7626.19013466195,"transmission reduction",6.41223691133894
2.15789473684211,1.10526315789474,0.0336564556314412,0.0149071970137296,8.18053706897626,8222.99308809469,8214.81255102571,0.000994836914166948,8223.9132140646,7626.19013466195,"transmission reduction",7.16862656028707
2.26315789473684,1,0.0323891921292349,0.0145462126275585,39.6978479844129,8223.08448390245,8183.38663591804,0.00482761037687568,8223.9132140646,7626.19013466195,"transmission reduction",6.7853492140162
