"beta.int","R0","hospital","community","cases.averted","baseline.cases","prop.cases.averted","assumption"
0.0416666666666667,1.0430899915719,0.0309682922009913,0.0141297067827022,74.5880485782145,8223.65191594701,0.00906994232496344,"inf_los"
0.0833333333333333,1.04039777683761,0.0282080545535091,0.0133020168974497,143.834034294405,8223.65191594701,0.0174902872549222,"inf_los"
0.125,1.03786791968312,0.0256951768430601,0.0125152734356403,208.250732643632,8223.65191594701,0.0253233885349402,"inf_los"
0.166666666666667,1.03548793283906,0.0234070916104105,0.0117676744880672,268.292855259854,8223.65191594701,0.0326245393168442,"inf_los"
0.208333333333333,1.03324638119713,0.0213228539127179,0.0110573326150076,324.364125179287,8223.65191594701,0.0394428325146267,"inf_los"
0.25,1.03113280078581,0.0194231950586766,0.0103823299996966,376.823520794083,8223.65191594701,0.0458219200721957,"inf_los"
0.291666666666667,1.02913762019613,0.017690506881279,0.00974075805643281,425.990769825411,8223.65191594701,0.0518006810331241,"inf_los"
0.333333333333333,1.0272520856445,0.0161087867042621,0.00913074968607011,472.151149792634,8223.65191594701,0.0574138052799943,"inf_los"
0.375,1.02546819040363,0.0146635416642379,0.00855049549128312,515.559679777676,8223.65191594701,0.062692303254947,"inf_los"
0.416666666666667,1.0237786089925,0.0133416694721357,0.00799824851850267,556.444773635352,8223.65191594701,0.0676639501918016,"inf_los"
0.458333333333333,1.0221766362699,0.0121313792356333,0.00747235113402314,595.011417011148,8223.65191594701,0.0723536724429354,"inf_los"
0.5,1.02065613140088,0.01102206334251,0.00697123121923373,631.443936400546,8223.65191594701,0.07678388419822,"inf_los"
0.541666666666667,1.01921146654678,0.0100041820658749,0.00649340008421014,665.908411860967,8223.65191594701,0.0809747808719459,"inf_los"
0.583333333333333,1.01783748005212,0.00906916490692428,0.00603745542711667,698.554774339785,8223.65191594701,0.0849445941389095,"inf_los"
0.625,1.01652943385532,0.00820932736447422,0.00560208904976172,729.518641933662,8223.65191594701,0.0887098152244267,"inf_los"
0.666666666666667,1.01528297482627,0.00741775325889427,0.00518606546192589,758.922921536591,8223.65191594701,0.0922853896654982,"inf_los"
0.708333333333333,1.01409409972605,0.00668824939514806,0.00478824339396469,786.879205967807,8223.65191594701,0.0956848872022318,"inf_los"
0.75,1.01295912348708,0.00601523698610909,0.00440754829235813,813.489007092408,8223.65191594701,0.0989206517258979,"inf_los"
0.791666666666667,1.01187465052244,0.0053936931628524,0.00404297343181674,838.844828052047,8223.65191594701,0.102003931662695,"inf_los"
0.833333333333333,1.01083754878845,0.00481910072745243,0.00369358257347884,863.031113128396,8223.65191594701,0.104944995477598,"inf_los"
0.875,1.00984492634207,0.00428740743148717,0.00335851644079125,886.12508045484,8223.65191594701,0.1077532329325,"inf_los"
0.916666666666667,1.00889411015414,0.00379493082880793,0.00303695211838806,908.197463896564,8223.65191594701,0.110437245299186,"inf_los"
0.958333333333333,1.00798262695861,0.00333835051884383,0.00272812501092675,929.31315081643,8223.65191594701,0.113004922911966,"inf_los"
