"beta.int","decol.rate","hospital","community","cases.averted","assumption"
0.291666666666667,0.00273972602739726,2.41545185971611e-09,1.44264494691298e-09,1587.4116462231,"Homogeneous"
0.291666666666667,0.010958904109589,4.94564419459801e-09,3.12673577774838e-09,1781.59454421244,"Homogeneous"
0.291666666666667,0.0191780821917808,3.52518798868711e-09,2.3518260535252e-09,1949.96917373872,"Homogeneous"
0.291666666666667,0.0273972602739726,5.61058307692029e-10,4.08884707322748e-10,2097.22682590762,"Homogeneous"
0.291666666666667,0.0356164383561644,1.49246945037892e-09,1.1001472191372e-09,2227.01263976277,"Homogeneous"
0.291666666666667,0.0438356164383562,1.91509427571103e-09,1.47828659283348e-09,2342.19570881453,"Homogeneous"
0.291666666666667,0.052054794520548,1.88724349249564e-09,1.52240948802372e-09,2445.06128399333,"Homogeneous"
0.291666666666667,0.0602739726027397,1.7843683566932e-09,1.50099713294197e-09,2537.44956998984,"Homogeneous"
0.291666666666667,0.0684931506849315,6.40116203992657e-10,5.6102126888986e-10,2620.85735219824,"Homogeneous"
0.291666666666667,0.0767123287671233,1.19797883934694e-09,1.087186702237e-09,2696.51339681088,"Homogeneous"
0.291666666666667,0.0849315068493151,7.84257529306279e-10,7.41783694978202e-10,2765.4350864225,"Homogeneous"
0.291666666666667,0.0931506849315069,1.31777982353105e-10,1.31280741963303e-10,2828.47144781654,"Homogeneous"
0.291666666666667,0.101369863013699,1.53687712379028e-09,1.56034980938193e-09,2886.33619957997,"Homogeneous"
0.291666666666667,0.10958904109589,1.45442443194056e-09,1.52707419674058e-09,2939.63339218162,"Homogeneous"
0.291666666666667,0.117808219178082,1.10908249497255e-09,1.2029072085277e-09,2988.87748732573,"Homogeneous"
0.291666666666667,0.126027397260274,3.50249766146257e-10,3.90501260553043e-10,3034.50921833733,"Homogeneous"
0.291666666666667,0.134246575342466,5.56503268909131e-10,6.54190033065431e-10,3076.90834820963,"Homogeneous"
0.291666666666667,0.142465753424658,2.98148025028237e-10,3.62226661861667e-10,3116.4033356522,"Homogeneous"
0.291666666666667,0.150684931506849,1.04887885151405e-09,1.28267290125782e-09,3153.28024862651,"Homogeneous"
0.291666666666667,0.158904109589041,7.40773843053723e-10,9.31449932717841e-10,3187.78897315394,"Homogeneous"
0.291666666666667,0.167123287671233,8.14971844457223e-10,1.05301446983882e-09,3220.14880398449,"Homogeneous"
0.291666666666667,0.175342465753425,7.48658416180042e-10,9.92964487642925e-10,3250.5528128945,"Homogeneous"
0.291666666666667,0.183561643835616,8.69846026109283e-10,1.18370354667188e-09,3279.17215538271,"Homogeneous"
0.291666666666667,0.191780821917808,7.31280867426342e-10,1.02025287985691e-09,3306.15834757803,"Homogeneous"
0.291666666666667,0.2,4.0548857187699e-10,5.80275237191715e-10,3331.6464367316,"Homogeneous"
0.333333333333333,0.00273972602739726,4.31777036977245e-09,2.68008907587502e-09,1718.05132365118,"Homogeneous"
0.333333333333333,0.010958904109589,3.19554460725847e-09,2.09499357271674e-09,1894.90322423829,"Homogeneous"
0.333333333333333,0.0191780821917808,2.23820995063719e-09,1.53485288091275e-09,2049.09416382112,"Homogeneous"
0.333333333333333,0.0273972602739726,3.27205917369831e-09,2.37381905182257e-09,2184.61469271829,"Homogeneous"
0.333333333333333,0.0356164383561644,1.96038850403866e-09,1.49062621580895e-09,2304.58965996586,"Homogeneous"
0.333333333333333,0.0438356164383562,2.6223015259208e-09,2.08536673431023e-09,2411.4964821509,"Homogeneous"
0.333333333333333,0.052054794520548,2.2494762437664e-09,1.86661652473654e-09,2507.3217152816,"Homogeneous"
0.333333333333333,0.0602739726027397,9.90833770559335e-10,8.49840957691694e-10,2593.67500644194,"Homogeneous"
0.333333333333333,0.0684931506849315,1.56272356504201e-09,1.40599949174444e-09,2671.87316702694,"Homogeneous"
0.333333333333333,0.0767123287671233,2.2662894217938e-10,2.08032107049206e-10,2743.00299797599,"Homogeneous"
0.333333333333333,0.0849315068493151,1.12289622321265e-09,1.08357378020755e-09,2807.96880725723,"Homogeneous"
0.333333333333333,0.0931506849315069,4.0170040831873e-11,4.0332954423409e-11,2867.52873494356,"Homogeneous"
0.333333333333333,0.101369863013699,9.99532201594651e-10,1.03815680117614e-09,2922.32283596964,"Homogeneous"
